"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
20537	"Sinap 72"	10.52	11.056	9.984	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"large"
20563	"Sinap 88"	10.52	11.056	9.984	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20563	"Sinap 88"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20542	"Sinap 91"	10.52	11.056	9.984	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20542	"Sinap 91"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20542	"Sinap 91"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20543	"Sinap 94"	10.52	11.056	9.984	"Artiodactyla"	"Tragulidae"	"\N"	"indet."	"-"
23643	"Arapli (Igdebaglar)"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
23643	"Arapli (Igdebaglar)"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
23643	"Arapli (Igdebaglar)"	10.55	11.2	9.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
27087	"Atzelsdorf"	10.55	11.2	9.9	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
27087	"Atzelsdorf"	10.55	11.2	9.9	"Artiodactyla"	"indet."	"\N"	"indet."	"-"
27087	"Atzelsdorf"	10.55	11.2	9.9	"Artiodactyla"	"Ruminantia"	"\N"	"indet."	"-"
20066	"Ballestar"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
23370	"Bayraktepe 2"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
21089	"Belchatow A"	10.55	11.2	9.9	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
21949	"Borsky Svaty Jur"	10.55	11.2	9.9	"Artiodactyla"	"indet."	"\N"	"indet."	"-"
20515	"Comanesti-2"	10.55	11.2	9.9	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
23417	"Dereikebir (Derekoy)"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
23417	"Dereikebir (Derekoy)"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
27147	"Draxeni"	10.55	11.2	9.9	"Artiodactyla"	"Cervidae"	"Lagomerycinae"	"indet."	"-"
21236	"El Lugarejo"	10.55	11.2	9.9	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20162	"Isakovo"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20409	"Kalfa"	10.55	11.2	9.9	"Primates"	"Hominidae"	"\N"	"indet."	"-"
21134	"Kishinev"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20255	"Melchingen"	10.55	11.2	9.9	"Primates"	"Hominidae"	"\N"	"indet."	"-"
21332	"Petersbuch 14"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20571	"Sinap 111"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20571	"Sinap 111"	10.55	11.2	9.9	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20571	"Sinap 111"	10.55	11.2	9.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20571	"Sinap 111"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20513	"Sinap 13"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20514	"Sinap 14"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20502	"Sinap 2"	10.55	11.2	9.9	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20502	"Sinap 2"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20503	"Sinap 3"	10.55	11.2	9.9	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20503	"Sinap 3"	10.55	11.2	9.9	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20503	"Sinap 3"	10.55	11.2	9.9	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
